LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 113085.0, 1016064, 1.0, 100652.0, 864, 23.0, 113209.0, 1204224, -5513.0, 110704.0, 891078, -111.0, -1.0, 864, 3979.0, 116289.0, 1204224,
1, 13.0, 291251.0, 3484800, 1.0, 279140.0, 288, 23.0, 291250.0, 290400, -5513.0, 290908.0, 3484800, -111.0, -1.0, 288, 55463.0, 292256.0, 290400,
2, 13.0, 152186.0, 1806336, 1.0, 149096.0, 576, 23.0, 152242.0, 150528, -5513.0, 150748.0, 1784896, -111.0, -1.0, 576, 55931.0, 155107.0, 150528,
3, 13.0, 190299.0, 2007040, 1.0, 187160.0, 8192, 23.0, 190307.0, 2408448, -5513.0, 186672.0, 2007040, -884.0, -1.0, 8192, 4015.0, 192510.0, 2408448,
4, 13.0, 190299.0, 2007040, 1.0, 187160.0, 8192, 23.0, 190307.0, 2408448, -5513.0, 186672.0, 2007040, -884.0, -1.0, 8192, 4015.0, 192510.0, 2408448,
5, 13.0, 283379.0, 3359232, 1.0, 280452.0, 1152, 23.0, 283378.0, 279936, -5513.0, 279652.0, 3359232, -221.0, -1.0, 1152, 55967.0, 283637.0, 279936,
6, 13.0, 348903.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348907.0, 4415488, -5513.0, 344814.0, 4014080, -1658.0, -1.0, 16384, 4015.0, 352277.0, 4415488,
7, 13.0, 348903.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348907.0, 4415488, -5513.0, 344814.0, 4014080, -1658.0, -1.0, 16384, 4015.0, 352277.0, 4415488,
8, 13.0, 78678.0, 903168, 1.0, 77912.0, 1152, 23.0, 78706.0, 75264, -5513.0, 73706.0, 881792, -221.0, -1.0, 1152, 57839.0, 80145.0, 75264,
9, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
10, 13.0, 410099.0, 4672512, 1.0, 409412.0, 73728, 23.0, 410101.0, 4153344, -5513.0, 407360.0, 4672512, -5525.0, 233547.0, 73728, 4159.0, 410544.0, 4153344,
11, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
12, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
13, 13.0, 171363.0, 1906688, 1.0, 170572.0, 32768, 23.0, 171369.0, 2207744, -5513.0, 168644.0, 1906688, -3315.0, -1.0, 32768, 4159.0, 175033.0, 2207744,
14, 13.0, 136691.0, 1557504, 1.0, 136004.0, 2304, 23.0, 136690.0, 129792, -5513.0, 135775.0, 1557504, -332.0, -1.0, 2304, 58235.0, 138074.0, 129792,
15, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
16, 13.0, 136691.0, 1557504, 1.0, 136004.0, 2304, 23.0, 136690.0, 129792, -5513.0, 135775.0, 1557504, -332.0, -1.0, 2304, 58235.0, 138074.0, 129792,
17, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
18, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
19, 13.0, 136691.0, 1557504, 1.0, 136004.0, 2304, 23.0, 136690.0, 129792, -5513.0, 135775.0, 1557504, -332.0, -1.0, 2304, 58235.0, 138074.0, 129792,
20, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
21, 13.0, 44516.0, 451584, 1.0, 44324.0, 2304, 23.0, 44530.0, 37632, -5513.0, 39554.0, 430336, -332.0, -1.0, 2304, 44543.0, 47230.0, 37632,
