LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 50359, 0, 84.0683889672154, 84.375, 83.96667988893296,
1, 218627, 0, 6.22635813508853, 6.25, 6.218649782090288,
2, 114551, 0, 6.159701792214821, 6.25, 6.130747575852361,
3, 101823, 0, 98.5553362206967, 100.0, 98.09196121363779,
4, 101823, 0, 98.5553362206967, 100.0, 98.09196121363779,
5, 213263, 0, 6.152966055996586, 6.25, 6.121934833725226,
6, 203647, 0, 98.55485226887703, 100.0, 98.09196121363779,
7, 203647, 0, 98.55485226887703, 100.0, 98.09196121363779,
8, 59759, 0, 5.903713248213658, 6.25, 5.798816568047337,
9, 212479, 0, 94.45827587667488, 100.0, 92.7810650887574,
10, 207935, 0, 93.62925914348234, 100.0, 91.72320217096338,
11, 212479, 0, 94.45827587667488, 100.0, 92.7810650887574,
12, 212479, 0, 94.45827587667488, 100.0, 92.7810650887574,
13, 106239, 0, 94.45872043223298, 100.0, 92.7810650887574,
14, 103967, 0, 5.851856839189358, 6.25, 5.732700135685211,
15, 212479, 0, 94.45827587667488, 100.0, 92.7810650887574,
16, 103967, 0, 5.851856839189358, 6.25, 5.732700135685211,
17, 212479, 0, 94.45827587667488, 100.0, 92.7810650887574,
18, 212479, 0, 94.45827587667488, 100.0, 92.7810650887574,
19, 103967, 0, 5.851856839189358, 6.25, 5.732700135685211,
20, 212479, 0, 94.45827587667488, 100.0, 92.7810650887574,
21, 34847, 0, 5.062128734180848, 6.25, 4.766536964980545,
22, 123903, 0, 80.99238920768666, 100.0, 76.26459143968872,
23, 54719, 0, 4.736928671942104, 6.25, 4.390243902439024,
24, 54719, 0, 4.736928671942104, 6.25, 4.390243902439024,
25, 247807, 0, 80.99206237111946, 100.0, 76.26459143968872,
26, 54719, 0, 4.736928671942104, 6.25, 4.390243902439024,
27, 54719, 0, 4.736928671942104, 6.25, 4.390243902439024,
28, 54719, 0, 4.736928671942104, 6.25, 4.390243902439024,
29, 247807, 0, 80.99206237111946, 100.0, 76.26459143968872,
30, 27359, 0, 3.223802039548229, 6.25, 2.784090909090909,
31, 31679, 0, 1.022759556804192, 6.25, 0.8035714285714285,
